tV995837,207,BBTLPN07T43I489R,31012.22,103388.23,0,0
co112997,286,PGFGNI22S47E878P,23513.45,68337.37,0,0
KR910501,1068,SRNZRA97M26B195M,37309.61,60407.01,0,0
Dp752391,194,MRLRRA02C27L888S,21617.31,154859.04,0,0
Qs637803,725,BTTLNE12P14I844T,19753.89,162634.71,0,0
aI451523,968,NCHMRN42S13C052M,23268.73,64206.46,0,0
bD060463,702,ZRLMND68T21D436S,26925.49,150811.91,0,0
yu363595,673,PLCLSE05A12C928Z,29943.41,59248.78,0,0
XN507608,538,CRPNNI18E41F697D,10945.74,194382.62,0,0
PQ193294,397,MLPMBT73R71A210B,10954.38,187398.29,0,0
of225929,962,MDGLSE44M03I155X,45371.43,180053.69,0,0
Ct779098,21,MRRPLA16T50D562L,49712.77,163364.97,0,0
Mm570486,183,CRFRTR05E46D611G,34696.58,164292.3,0,0
Yf816774,296,BBBCRI88A57B446U,43541.45,149010.68,0,0
sn623722,495,GRNRSL14L03L013X,38867.38,179045.4,0,0
nO423589,2,TDSFLV95H53L155N,12957.75,182971.2,0,0
Tl519480,927,FDRRMN45L51B999R,45759.75,191850.5,0,0
jM558274,1012,MLNCRL84P45E520D,29713.36,194779.21,0,0
aW776807,45,BCCGNE85A12H860X,35616.92,198215.47,0,0
yM087648,532,RBBVNC64E62M267B,6247.14,199754.38,0,0
Ua519335,1111,PZZLCU30S68C489P,11801.95,183196.41,0,0
Be641918,54,GLZSTN18S28B527M,48876.58,139490.07,0,0
Pa383066,230,TZZNTA95P14H723F,10369.56,172453.19,0,0
cf448188,726,TRCVNN69T62F565U,49339.2,196422.26,0,0
kl662302,1096,CNNNTT62A23G475Q,43054.06,193362.01,0,0
Wx718192,290,NRBPRI85H42A569C,30643.87,162699.18,0,0
AY709126,309,DDUMLN55T30A447R,48766.71,72799.24,0,0
mR964665,423,SRNLCN35T70F483L,6965.2,110101.88,0,0
WV626101,22,CNNNTT62A23G475Q,9521.5,119225.39,0,0
qw964992,91,PNITZN84C68I891X,35146.36,161779.13,0,0
AK157155,237,BNVFST16P59D949N,16108.06,91451.04,0,0
RY237051,256,CCRVNN86S21E114S,19153.08,141563.9,0,0
ax808967,547,SMTSNO37D27H514E,40826.77,72620.65,0,0
hg270945,340,GNZGVN72D04C815U,14350.95,147069.21,0,0
kD420204,323,BNNMLN63S20E949P,34606.84,127542.24,0,0
hL257603,695,CRFRTR05E46D611G,46365.05,67370.96,0,0
Jn777679,908,DNTNTN02T19A254C,13881.05,65633.19,0,0
Bc160849,555,BRRSNO02E19G833Q,33316.36,153968.83,0,0
OI004683,920,TBLFBZ43B25F943J,11441.11,160119.59,0,0
Mh809725,428,GNSBRN71L57E069I,16452.16,95887.88,0,0
ni405247,728,BTNLNR63B24F200X,9788.66,167131.97,0,0
pm475372,132,BRGLBT56B49E939Z,26345.92,88010.12,0,0
ak093372,404,LBLFRN89H05I084P,11552.82,115769.59,0,0
RF112903,483,TSSNNL76B48A514B,18029.75,127334.19,0,0
cY205780,542,RSLRSR50A41I953F,6421.18,160222.16,0,0
KG028766,75,FNTMRS43D02A218X,24569.35,89938.69,0,0
hF448006,122,VRGPRD25S70L239I,26229.29,122463.74,0,0
Jn875792,834,LFNNZE90C64H203Z,36846.09,89207.08,0,0
XL707137,740,PLMDMN04P68F904E,13239.26,137620.24,0,0
rH671688,410,BTAPRI02S59D317Q,45395.69,178182.35,0,0
gT041205,272,PRDLDA39C65D309M,15376.02,69052.98,0,0
Ch402952,466,CBBPMN86A63H573V,10228.48,126187.85,0,0
xw344115,36,GRNBRR25P51I242O,8283.51,112487.73,0,0
tP142303,855,RGGLRI93L24A085N,6597.27,106962.81,0,0
mH874415,936,CNTFRC67L57E965J,8633.82,164233.13,0,0
Yg629950,1109,FDRGSR05M64H683F,29117.49,97268.21,0,0
kS794698,160,FRCRTI91B08D815V,24539.21,159148.53,0,0
DN145486,1039,TRVNTN11R63D095Z,38443.72,117816.62,0,0
lP220259,591,VSNLCN09D28D258R,11070.43,156658.98,0,0
Uz099661,761,CLIFLP27S24D132B,45777.41,91715.17,0,0
Xy877460,1073,BCCBNT86T42E307T,31305.1,62669.12,0,0
Gd232898,632,CMBRMN88S47M065B,44280.91,58785.94,0,0
pL086551,312,GRGFMM60P16C661J,29238.92,105643.23,0,0
Uu634731,93,TRVSRN80R03B368R,16726.27,95119.88,0,0
bA149454,343,DNZLND53M16I199J,22529.12,137061.52,0,0
rI266900,83,GRGFMM60P16C661J,15830.36,136397.19,0,0
eV915408,1046,MTTCTN38E30F507N,10624.04,174212.22,0,0
CP061307,1057,GRSBLD03L41E877H,40949.78,154314.76,0,0
kC493574,402,MFFNTN34T03L952U,49258.25,91047.14,0,0
mE154071,641,CSRLCU14P43H675X,44475.64,133037.86,0,0
JQ672056,1192,GZZDMA93P59D021N,15129.34,173239.88,0,0
zY827523,489,MLSRST13H50D641H,42405.49,181938.26,0,0
DS360396,1186,PRTMLN41C26F677J,15282.88,193714.97,0,0
xk238573,17,PGLBLD24L47D938X,39735.62,122184.13,0,0
PS396027,910,BJRLNI49R06D133G,36875.06,94729.9,0,0
tN450687,324,CSNMLS57R30E370Y,30439.25,161265.23,0,0
ut848710,480,VVLPRN12S59A101H,39196.29,139634.73,0,0
YR440769,550,FSNMRH96H04C055W,27953.8,138967.92,0,0
