BBTLPN07T43I489R,207
PGFGNI22S47E878P,286
SRNZRA97M26B195M,1068
MRLRRA02C27L888S,194
BTTLNE12P14I844T,725
NCHMRN42S13C052M,968
ZRLMND68T21D436S,702
PLCLSE05A12C928Z,673
CRPNNI18E41F697D,538
MLPMBT73R71A210B,397
MDGLSE44M03I155X,962
MRRPLA16T50D562L,21
CRFRTR05E46D611G,183
BBBCRI88A57B446U,296
GRNRSL14L03L013X,495
TDSFLV95H53L155N,2
FDRRMN45L51B999R,927
MLNCRL84P45E520D,1012
BCCGNE85A12H860X,45
RBBVNC64E62M267B,532
PZZLCU30S68C489P,1111
GLZSTN18S28B527M,54
TZZNTA95P14H723F,230
TRCVNN69T62F565U,726
CNNNTT62A23G475Q,1096
NRBPRI85H42A569C,290
DDUMLN55T30A447R,309
SRNLCN35T70F483L,423
CNNNTT62A23G475Q,22
PNITZN84C68I891X,91
BNVFST16P59D949N,237
CCRVNN86S21E114S,256
SMTSNO37D27H514E,547
GNZGVN72D04C815U,340
BNNMLN63S20E949P,323
CRFRTR05E46D611G,695
DNTNTN02T19A254C,908
BRRSNO02E19G833Q,555
TBLFBZ43B25F943J,920
GNSBRN71L57E069I,428
BTNLNR63B24F200X,728
BRGLBT56B49E939Z,132
LBLFRN89H05I084P,404
TSSNNL76B48A514B,483
RSLRSR50A41I953F,542
FNTMRS43D02A218X,75
VRGPRD25S70L239I,122
LFNNZE90C64H203Z,834
PLMDMN04P68F904E,740
BTAPRI02S59D317Q,410
PRDLDA39C65D309M,272
CBBPMN86A63H573V,466
GRNBRR25P51I242O,36
RGGLRI93L24A085N,855
CNTFRC67L57E965J,936
FDRGSR05M64H683F,1109
FRCRTI91B08D815V,160
TRVNTN11R63D095Z,1039
VSNLCN09D28D258R,591
CLIFLP27S24D132B,761
BCCBNT86T42E307T,1073
CMBRMN88S47M065B,632
GRGFMM60P16C661J,312
TRVSRN80R03B368R,93
DNZLND53M16I199J,343
GRGFMM60P16C661J,83
MTTCTN38E30F507N,1046
GRSBLD03L41E877H,1057
MFFNTN34T03L952U,402
CSRLCU14P43H675X,641
GZZDMA93P59D021N,1192
MLSRST13H50D641H,489
PRTMLN41C26F677J,1186
PGLBLD24L47D938X,17
BJRLNI49R06D133G,910
CSNMLS57R30E370Y,324
VVLPRN12S59A101H,480
FSNMRH96H04C055W,550
PSTRRA37T07L564O,918
GBBSTL51C25M169C,1071
GVNVNN58A28G628N,88
PZZGLR21P63F839S,1187
VRGMRL05D60I873E,1115
MDRLND07T23L470S,245
CMNFDG44M62C560P,437
MNNVTR83P13F751H,225
LGNRSN61M42A834Q,835
FLLLND79H62I409Y,875
MCHVTI00C70B877I,429
VTTZEI83S70H013N,516
TGLGLI86H04L386E,1050
LCCGNR05M41G007C,1066
RCCLLN17P24H266T,873
GLTLCU09R12I462Y,1150
BSNRRA17T28A452U,824
GRBNTL61A43D068X,820
DROFLP57P19A490T,263
DNSSTN98C08E154S,118
MRSMCL08M05H495X,1197
MNCGNE44H24G906T,478
MEOGLN66A27D038T,233
BNNGNN73M22D905Y,1175
MNRPRG38R60A552R,625
LNTPRG37H62F914I,259
CNINNR01S26C342G,603
GLGSNT68A58L799W,909
DSSPSL41B49C210P,1184
PDVLNI19A28C553J,1191
TRTLSN46E26B161Z,176
CRVNPN63A41D895Y,704
SMMNTL56L22C745Q,137
DROFLP57P19A490T,775
NTNLVI54A26A902T,664
FLRDNI46S69A713M,809
CSLNTA23C21G311F,86
MGLLMR37P58B676X,43
GLTLNI13E02F148U,1101
LNCMLN87S11C269U,648
BNVFST16P59D949N,209
PZZLCU30S68C489P,445
BRDFRN89T05A438G,948
MRNNTL85C59B629F,261
MRLRMN78T51G488R,717
MLDLRT49H15E504T,254
CRCNRC90H61G837J,339
FNTVRC37E27G114Z,442
RRCGNL48T47D732R,48
CNVRFL10S69E919Z,537
CSTBNC59R24G859W,882
PLZTNF47T69B905R,121
SBBNNS00C08C573O,210
ZNIMRA99M68B364P,195
SCTRML01M63A710W,346
MGLLMR37P58B676X,326
ZBRBRL65D65C430J,884
BLBRMN01S65D145I,810
RROLND46R08M015J,618
MRRPLA16T50D562L,1035
VLTRGR88E54I873T,652
PGFGNI22S47E878P,671
PRZCRN27B50G105Z,686
MPSCSN53D57C801I,193
RMNNTL31S27F516V,719
BNTRSR68M28L401Z,304
MNCGNE44H24G906T,684
VRDVEA68T31L132T,777
BRCPLN89A12A645R,993
GGLSBT66M65D553S,1099
MRNNTN03H69C621G,816
TRSTTE97R05L689C,479
LZUPLA45S30F118P,60
BRGLBT56B49E939Z,387
CLGSNO82L07M122O,985
GLTMRN24A57I759A,65
CNNNTT62A23G475Q,780
SPSSBN53H49E311K,813
BDNLNA27C14D835P,1153
RTCPRC28L09M083T,622
PRDRSN39H22F562I,1172
BNLGNL39P69E563A,167
MNTGSR49B63H258R,864
FRRNTN00L42H591R,1174
CMMLVI75A54A357A,444
SLNCML43R12L883P,1064
GROSRN16C27E675V,769
VCLFLV86T57L444K,589
SDRPLA96D28A975I,362
BDNGRG72H62A424G,1120
CREMRA74H08A551W,1135
RNSGNC04H64L741A,322
GRMNTA16C01C596X,949
VSPLGN95L13F267L,857
PCCDNI38M27D373N,71
BNGMTT42E70E244T,707
FRRLLR10E09F851Z,368
GZZLRA52T24F675G,278
GBRSLS35S42I240L,455
MRSRND07R57H659R,815
SBRRMI09C25E305O,1010
DSSVNN88H54C420H,333
ZTIMRC15T61F614I,1159
CRFRRA47S17L837A,1074
CMCLLR08B16L535P,862
FDRRMN45L51B999R,997
MRCGMM70L04C418H,348
FRRNTN00L42H591R,212
CHTFRN35D27G299B,528
CRELBT98C46D462H,1078
CNTMRA79T07F009G,380
CREGNC86P67B978C,1015
RSSGCN14S52H480J,697
PZZMRS04B28L335T,1000
TRTFMM80D21L024B,1080
RNSGNC04H64L741A,443
PZZGLR21P63F839S,130
PCCDNI38M27D373N,610
MTTCTN38E30F507N,748
FRMVTR71D41G556M,38
MRSRND07R57H659R,460
SCHPRD70R49C459O,202
